10000 10000
1 630756741 149264395
1 95204043 12012264
1 675720198 728821028
1 254508754 888687301
1 145226699 283707101
1 480080325 406939074
1 817102935 684084558
1 422096999 838754730
1 261960460 427974870
1 676452681 154760927
1 368792217 652985877
1 38618274 103226880
1 628764403 669272912
1 92244422 661785998
1 861222200 521734620
1 959611781 385992875
1 342927136 877749851
1 186186785 357621816
1 435340230 79438859
1 37195538 813623045
1 857088144 553110710
1 841161317 513406618
1 39644492 23519983
1 161756165 714546631
1 787892818 730424724
1 288581832 969754076
1 736643106 517457587
1 970404941 605028069
1 223246407 448431140
1 623024780 47214688
1 347309107 156587381
1 913488454 432832553
1 720447969 849191775
1 10121010 38564113
1 884882679 898930478
1 654849100 988111403
1 836790111 60991374
1 927224636 723114620
1 786604185 340184941
1 808008895 311893215
1 370010814 452087764
1 123455508 240498532
1 202131317 49398912
1 948822935 446484501
1 506986548 500779518
1 311644772 101067971
1 767634500 698773971
1 504362189 490334392
1 111044625 956701710
1 817168168 780455589
1 137864731 105162451
1 44936735 130439979
1 693854229 771823593
1 558198361 431283231
1 885073509 958726641
1 6251466 427647515
1 797119623 186513775
1 213110116 531974994
1 125056848 591437570
1 988001411 789134651
1 466378441 900124915
1 798124155 889813923
1 623658542 108918034
1 218900255 210077052
1 938926822 626237776
1 107163384 503698702
1 633142751 448745172
1 783412119 585244276
1 263769885 567188365
1 291639208 22486402
1 558094545 479426297
1 471130875 317388214
1 708186129 922877007
1 799146507 892614811
1 938684620 850516056
1 996420108 548254428
1 22893158 951690849
1 894895642 683075153
1 942057743 560535848
1 333316837 64223014
1 449785295 399015625
1 604305721 909064762
1 462868806 250253008
1 626335787 8218162
1 297243313 721398669
1 622091886 547934406
1 52878145 250710313
1 386261741 58016106
1 558172824 2082872
1 114611820 781005959
1 802068779 615116434
1 384124481 644309285
1 491784319 901975777
1 736154631 690571428
1 724032750 176085348
1 737673397 653689248
1 749962213 826368226
1 681476182 832880001
1 565613542 504178772
1 376073072 408726561
1 2462264 19555264
1 371763104 192559805
1 100551779 490076620
1 629178226 181945132
1 794274012 604969932
1 607180386 831435536
1 835516887 136752076
1 290693869 959537936
1 591068505 621991091
1 762130855 540809277
1 530538305 405189791
1 903383063 242734129
1 242714915 31109330
1 600193854 520392797
1 344715518 515809998
1 513358120 568112841
1 426007591 992081417
1 537124668 580526735
1 767465485 798601091
1 562695836 858417911
1 984800732 889435295
1 860635358 396099361
1 91708702 40853124
1 530865377 252816532
1 913337699 253598337
1 699575605 294225910
1 892945815 124587469
1 527811825 825880665
1 187847897 358643789
1 581287591 590410312
1 461497750 474729864
1 592847484 811025155
1 344316374 604352800
1 531790554 769880842
1 194300977 441376999
1 706296077 576049170
1 775266743 917841830
1 701458886 881758619
1 208172329 294451118
1 978194690 176331976
1 218944278 156993035
1 548226027 122968737
1 66032196 140029829
1 266056127 544373435
1 210746296 605441547
1 183659393 829417412
1 765036631 779041206
1 542864479 412766097
1 209105984 954005174
1 306234180 152539979
1 947179934 104359174
1 443971429 469617525
1 406460739 33137844
2 818402254 46902521
1 29731155 475315981
1 46563669 350010884
1 89621037 667710890
1 573828963 787301042
1 433423919 84254587
1 339436013 184504059
1 77609870 304984870
1 465855985 63646580
1 379564038 99333654
1 905531711 54860488
1 532521643 526896852
1 363315950 748141807
1 403118161 689004220
1 257928903 389073075
1 835511122 832838299
1 570620022 541720830
1 652016597 626873716
1 102493730 330235216
1 888971161 687549326
1 555918439 412834754
1 880013356 664597403
1 851074563 769091321
1 832390656 281278834
1 758821465 399961300
1 599586172 44499658
1 874280428 741019200
1 466269142 210620269
1 999750117 888162291
1 580480218 112815605
1 321549440 212582228
1 457054324 163018149
1 603425339 144870017
1 912925554 562106841
1 213934779 507184153
1 739572254 148502720
1 999031251 691083311
1 632996813 143448853
1 793780629 695595017
1 263612987 284708748
1 97941426 567546689
1 298580669 723504491
1 290537963 486709441
1 724854908 109192972
1 652816062 385601511
1 850277896 57389512
1 626564633 204960521
1 264891438 89776813
1 184828780 948930476
2 124227936 544815468
1 303316345 504611015
1 687445583 228871199
1 921916198 551026681
1 775131559 793287989
1 238596916 539376841
1 683529481 982937942
1 966755868 197578852
1 685288317 685944958
1 209628288 142433914
1 623771940 867314573
1 503068761 226526466
1 937794068 122415543
1 940747328 11227413
1 155885474 37112178
1 733653831 461815121
1 175551196 639398772
1 451694528 275239951
1 779909061 838890586
1 686616714 537476867
1 872876901 981282450
1 35878269 710645923
1 16202920 739536918
1 260788396 849426623
1 385127874 328466260
1 687319665 467072442
1 982787333 55471585
1 279246642 839521977
1 204707429 248956709
1 815186083 679807699
1 191459604 931061222
1 648738027 358522548
1 228789455 268642055
1 847052952 542846879
1 948298616 224189656
1 19662427 546907529
1 467814839 419345984
1 741409759 173699619
1 777551534 663618521
1 216217829 223699857
1 161549909 542969333
1 505853786 144306476
1 48930014 466465653
1 823654341 478920625
1 521798752 341389094
1 689255204 785421710
1 58759592 522963702
1 374909062 172563314
1 678002738 436765162
1 53636921 325578085
1 362468978 752490354
1 948614658 240940256
1 56678952 60869221
1 110267863 579543236
1 159510683 629436303
1 465570238 556064045
1 478345571 168216007
1 54533376 359911741
1 725626391 43122224
1 71836729 60051845
1 325448444 171149399
1 829985740 664044915
1 52230646 312634277
1 632042986 292347640
1 166732510 954619882
1 16350993 519189691
1 554864462 25996138
1 673141012 330114866
1 966333185 890501681
1 287797946 679883956
1 952990351 768768509
1 882929382 282122504
1 346972306 145445337
1 145779051 977152577
1 718290101 89126298
1 838895558 87500751
1 838747378 744523138
1 704950240 224381759
1 905592195 71415076
1 601901781 515255897
1 348470730 559653741
1 466408604 614095878
1 73646611 620988983
1 919682432 662827165
1 748337356 641705460
1 128068852 113054779
1 221219146 528972443
1 610042816 902677734
1 152007662 80213882
1 324260686 328832094
1 676985044 719272702
1 628866418 590860439
1 838649150 241088789
1 417343583 612008379
1 71045855 859755831
1 757911059 485658256
1 999036344 422176293
1 691575612 922791898
1 692607531 293406777
1 322767171 997129253
1 928717125 37573479
1 995723631 934488793
1 40723538 540703420
1 110405740 163401172
1 599619912 464084191
1 139646830 430602795
1 785402386 823407040
1 989166544 44172159
1 813253643 768048393
1 30015279 394094264
1 39326211 116622157
1 553556917 524923793
1 756872463 2823038
1 989338398 992060112
1 106054428 631301542
1 351231946 515749397
1 970427355 627235098
1 937767703 679298988
1 793304570 491427414
1 458793325 473120545
1 338348059 79130357
1 289392989 924989315
1 491059543 251062358
1 860054317 220477862
2 648570648 47372411
1 962677153 573113973
1 778167109 479190733
1 252377734 432372513
1 29898109 133828212
1 609814967 368186885
1 330126793 136244681
1 115295588 181171431
1 662439136 59332704
1 700548136 252663829
1 451923294 972626466
1 365739500 885578786
1 582588836 985598557
1 704466119 884716122
1 766261531 891099036
1 455154152 439082050
1 439602443 847492399
1 665957590 857425544
1 192306683 928511024
1 780623934 968859215
1 350521629 669374882
1 895227741 822212105
1 452207378 97753891
1 605661513 73540789
1 860858001 636071546
1 869323850 394696409
1 655874681 45182094
1 828803226 909863518
1 746003348 861717228
1 685362370 930553729
1 868016272 893069433
1 879244898 427004257
1 367221992 824996644
1 669228605 146283474
1 928850166 919088497
1 314334321 207161427
1 924493238 706643599
1 346072923 61900785
1 44518705 694544357
1 353481341 814109163
1 613341405 300466813
1 291225821 517142034
1 661893273 474947851
1 726340816 106023542
1 56812292 6947307
1 851115492 309501377
1 197961351 477235632
1 287528739 450289201
1 433359098 142291687
1 140600493 840474151
1 748149429 423678596
1 169537553 499832280
1 189181416 89239730
1 115326886 707196917
1 523655987 698188103
1 667506301 116807557
1 781022128 11833410
2 855262038 74001873
1 102824531 33513838
1 570961434 191886442
1 641041476 58630133
1 28689651 150627429
1 120678879 463830094
1 372235358 332776773
1 737328801 97493795
1 941275937 660129357
2 398692172 463334742
1 592127453 446882373
1 942590931 931891976
1 668736201 667405456
1 331627769 740828196
1 942956374 985946605
1 701086764 715450037
1 845950608 550125516
1 543878077 61417085
1 721064944 481272365
1 137515255 319465191
1 623584355 655035703
1 440081502 309102424
1 656737837 874364526
1 984391313 243759681
1 902780710 63426915
1 539041707 587946503
1 490988657 59681356
1 206080253 492668138
1 346028743 319367525
1 810881366 344873078
1 28801812 888233709
1 936433382 875686058
1 687827477 411934138
1 801401827 143072405
1 498993576 454368875
1 65374667 826358161
1 528996461 54200025
1 178905292 177115422
1 145528852 505498787
1 61285903 32999739
1 454623347 900755581
1 680089457 1029396
1 15681216 206687309
1 994549364 525936147
1 340213148 6405053
1 83533815 291502145
1 842433196 415040501
1 55212426 35286856
1 283323223 842163562
1 430034134 301217983
1 807308022 624244008
1 158795620 703295766
1 316965955 132856056
1 605597567 146284014
1 994145689 976799941
1 805349832 718177961
1 37468909 320223570
1 541755594 103088725
1 333572092 413831574
1 109374060 3824588
1 816940593 103086211
1 392988935 452816020
1 824841345 894522608
1 952500881 339202229
1 169775768 563049560
1 890965033 838817678
1 41890188 821237147
1 1182221 542235524
1 29956209 755809843
1 318299986 286100025
1 22641517 224349278
1 24653057 465542284
1 4257786 486627529
1 56002409 73124186
1 473623643 263667050
1 209534990 574374428
1 771923745 566649266
1 527754621 864453037
1 946229933 170077896
2 848362778 289277413
1 448745584 104462024
1 249660135 647821285
1 20704199 669078935
1 743569518 965547133
1 478449819 127333565
1 373638624 295148318
1 144014767 242118800
1 901680363 897247709
1 432824292 950763255
1 311032630 343194190
1 716594886 514935204
1 963608221 982166898
1 59828299 304853075
1 724365586 327609059
1 140019101 244910551
1 675663539 131058284
1 175087345 640411025
1 569806122 894889059
1 283219486 39118028
1 356428447 161017246
1 148711174 510714888
1 587645130 67385935
1 115325967 691751284
1 809373565 773065435
1 187560380 614291442
2 193906619 48831612
1 117288022 662776386
1 820983181 474869670
1 410688012 420976226
1 350547467 896612726
1 23404200 950839155
1 13147246 567926459
1 525791161 76835522
1 320070200 766294243
1 698792604 812208563
1 906878488 8283635
1 670053126 178643814
1 341491122 364982670
1 570271583 334978920
1 453949338 664609622
1 717368529 632651223
1 465991017 831140688
1 579064983 742259655
1 529590224 650661600
1 797142775 221124370
1 147510260 801789760
1 566388207 284566476
1 788285656 683380627
1 598367015 88502204
1 343501348 791112700
1 567594842 237128098
1 418804231 184294129
1 207084747 549834689
1 101553139 140064964
1 511996955 958827734
1 731613653 886786896
1 141793326 999539068
1 359492706 122410731
1 26997691 69616629
1 851785222 828235252
1 236819997 946491688
1 290794631 860066292
1 823945473 869987433
1 701531347 745105577
1 449302104 660937654
1 538716791 422050585
1 935077465 561625509
1 469525622 462209876
1 911546880 13053040
1 329231828 481458524
1 15329757 742166837
1 369774765 134284584
1 960822185 608921502
1 436797173 943959743
1 790094899 26556670
1 972636523 249499675
1 149129394 97287487
1 141370367 333318096
1 206011429 690448239
1 398152513 190241939
1 864288870 316628360
1 603366486 362749068
1 119647062 863477442
1 787133994 654750216
1 734582383 242624478
1 398380333 871729032
1 873957856 614518890
1 208590225 875578249
1 779306143 295582348
1 580000196 635020439
1 86843910 882672566
1 118047922 342492382
1 132433852 815670850
1 299276081 319370671
1 727232026 52204483
1 98029881 261231296
1 27442679 667605495
1 660758969 738053346
1 427009266 647363966
1 453608406 229532792
1 644984163 544356063
1 50854063 798723913
1 831964065 346993416
1 254233086 195997450
1 117469113 765910598
1 96652207 374479426
1 861489909 726152489
1 553438437 888135502
1 83406785 303992582
1 821517301 861889922
1 227487924 868647008
1 235147810 759332190
1 585930538 167525602
1 310166189 20327254
1 372267516 80277701
1 794407216 696245913
1 858433728 900525950
1 349743973 277190950
1 287350366 599857837
1 170346882 424344323
1 414180916 937133863
2 452229846 475373567
1 477626558 968666398
1 948174057 632715259
1 796277300 707471574
1 38921764 323058860
1 59311448 415094328
1 666219589 965875443
1 846153314 662037964
1 969299213 200926749
1 305494881 966548637
1 119433934 14875949
1 226549862 928003081
1 427611785 36482564
1 662907191 128977079
1 795280562 135165184
1 31845117 290431894
2 185020227 78634333
1 504515175 121107869
1 769139678 226496853
1 447050496 679889066
1 145018310 76280472
1 829074548 27521431
1 344187443 584893130
1 639602978 297092942
1 995629202 347420590
2 70160965 812773708
1 49571071 503292417
1 997665760 216112544
1 59598454 943836876
1 79448019 695510546
1 135140172 849129434
1 279081337 208724489
1 626802346 52719265
1 711471288 301969498
1 140587013 52389300
1 383771416 945775349
1 354970606 74382254
1 668789591 417247539
1 833737965 303181080
1 438935024 367599501
1 917486338 260297306
1 73081354 65154241
1 76491822 402831448
2 734297337 539802228
1 227360795 879473552
1 633148213 333523584
1 451930342 736577133
1 871864395 936941862
1 621451582 523763313
1 816176552 146751006
1 582748100 367381311
1 116128764 860985072
1 297063508 994383328
1 448964835 287424865
1 146298575 557331366
1 621944953 225915122
1 286642917 594664376
1 824807896 332345265
1 431903382 505414414
1 243169268 284507035
2 204162093 820912792
1 131592081 907432604
1 637069541 667290223
1 110933814 34763458
1 417039294 585769028
1 656898958 287357879
1 737682778 604334293
1 737554109 796299479
1 359092887 845103739
1 244637839 137438293
1 759618422 116537139
1 75014672 991670093
1 290525927 284420389
1 872345745 437056724
1 956839762 41309776
1 825494540 135352738
1 133088090 281052103
1 267944927 77180330
1 924917707 250759494
1 422323203 552619486
1 875297446 654171550
1 924903248 7747081
1 931244818 363815368
1 23742000 185792814
1 39295425 599201855
1 413006053 518564245
1 19917098 325174310
1 377710631 13893263
1 490222268 418388384
1 630627126 911287315
2 978242700 983236046
1 532170436 712106675
1 43297483 289797604
1 109935815 293779794
1 652652538 932220937
1 551680317 404183720
1 450502940 368551836
1 694803193 688676012
1 92860559 279782322
1 712487469 201054389
1 650774922 232878461
1 737938854 613236331
1 571822333 421608984
1 772694269 838965674
1 184685043 887647786
1 903271492 722065401
1 593966254 79818300
1 979293094 457338828
1 22063650 456578266
1 788230533 111433435
1 828427214 32680775
1 310605524 961779658
1 80696263 199910984
1 726684524 440272957
2 185107900 552154444
2 902686142 621506186
1 358418275 244318090
1 347812943 241645867
1 844941269 411529050
1 133865310 897360270
1 179002335 15138545
1 24348756 207649162
1 336654485 325498128
1 721983831 892620645
1 939293554 554472981
1 86385866 981283068
1 659406744 633527888
1 553401797 272327022
1 269499260 431051297
1 394327455 327001543
1 472363034 551448057
1 489551914 682145519
1 941751331 853120305
1 178004083 269902710
1 46353755 323975002
1 379584613 652159101
1 731176758 779322150
1 11044650 943838908
1 691020238 385577090
2 239696231 688211223
1 104632573 918031165
1 72499766 880339313
1 101993695 516081559
1 658580969 432607923
1 4583008 510182742
1 926629835 316228801
1 65939510 143782718
1 500946362 62588472
1 980268253 21472034
1 312732346 200055013
1 129146683 609817711
1 40017972 419673893
2 345724532 294439120
1 261904990 288669158
1 177830748 297123590
1 790479497 48044315
1 460175742 85082947
1 718520533 667029628
1 77836042 372816871
1 275167497 808666
2 909070772 553800246
1 235120045 85664413
1 184914772 246714373
1 151857880 64816524
1 741428806 493822548
1 808844341 468332255
1 176023976 349982713
1 213740757 748245115
1 200862770 849260884
1 510822110 895065711
1 23400495 302612064
1 211177049 255172630
1 740612449 658212331
1 318466701 940595383
1 467065475 916708540
1 553814449 558296823
1 790151628 39538748
1 983268419 905654468
1 165430637 194371772
1 75216124 875485141
1 146083543 90772189
1 74412177 248449794
1 788953914 384396020
1 826786650 584030460
1 128424179 204111218
1 324114596 375486180
2 586331197 458950474
1 466471516 671457862
1 304911748 755766894
1 263989071 956080173
1 523890940 352075880
2 103288666 598801264
1 33792429 452144904
1 272092516 859210527
1 889209543 606089728
1 509841078 439246416
1 22447790 470368305
1 278861827 814387213
1 789420477 428964351
1 141680329 809408627
1 380280747 260159935
2 195152265 509567464
1 574341781 23320002
1 36320231 341745247
1 90164809 423973728
1 192065234 165444975
1 459706837 794131200
1 474558097 936649899
1 102343666 541550371
1 241843857 630644475
1 50923826 971230654
1 316038806 937153411
1 790493697 139220068
1 739163679 724033636
1 44440763 739078232
1 97083680 745321687
1 657730225 373560466
2 242398099 1350112
1 909954322 16734498
1 830957956 617188629
1 577543116 141066172
1 529791624 740624106
1 607928162 514404886
1 963825654 341596035
1 54850690 605062267
1 622920339 439358448
1 970521566 417660797
1 234069098 602267360
2 870211988 289246246
1 225612701 209523683
1 772597260 1513989
1 641392799 313843431
2 582700629 717019861
1 532931271 614558638
1 990280961 446825855
1 707346911 703041963
1 685451939 81434843
1 885490162 371479024
1 340466713 327609783
1 801116429 788839160
1 966967778 818687997
1 961869441 30283918
1 881971997 16716916
1 333321902 503855538
1 333657305 698522818
1 960465220 51861688
1 32692156 848735907
1 145234939 422196781
1 883495623 1978981
1 150001380 74875729
1 138726613 558427696
1 242430900 759657941
1 653977234 574066492
1 298769416 393786604
1 72445667 118581067
1 192216534 560860428
1 642775756 289386682
1 454270234 615457753
1 127822200 617046978
1 738841568 752765000
1 504136343 196529386
1 895671398 481799294
1 991491195 666897292
1 828611354 832554461
1 662855105 608072746
1 391158950 761029183
1 953957102 44104812
1 895393685 463749266
1 816391254 607763873
2 526668536 583470196
1 62920591 944418613
1 934707092 779217439
1 877553225 119364979
1 685939536 893564456
1 226756220 455799762
2 444886778 466997570
1 914899861 739051307
1 530634865 28073711
1 292579529 794075920
1 596390714 232549649
1 301581063 404497499
1 11612633 545489532
1 61997026 247425765
1 1926463 165808936
1 494244484 93274570
1 655647984 530052909
1 841549916 602139070
1 907060903 133670315
1 850771804 768566680
1 581759517 139157428
1 607333952 471957073
1 32816894 443218757
1 60174435 472888464
1 580860506 854843658
1 107826621 351778235
1 197510922 703831439
1 835772265 926901406
1 657923774 124549793
1 919285033 426193113
1 179047448 418847667
1 780847382 222361035
1 838871813 481397114
2 583189133 337372001
1 10346011 525188626
1 784163988 337004677
1 731907270 172135452
1 632668260 856888101
1 363446558 795786816
1 617697409 497382043
1 21889020 107529012
1 858349172 626876905
1 427861862 92043056
1 615275692 804795139
1 57489727 655179117
1 906477416 709917472
1 374165514 767675382
1 632603431 767307098
1 68312336 14658585
1 821514086 807855417
1 792765439 813165863
1 334395818 225808927
1 719193141 86650402
1 474156204 978990258
1 631776595 110081397
1 331989656 380612064
1 391553857 955780191
1 590972395 361175390
1 2196593 996873708
1 613968842 108382237
1 872937904 652054802
1 865887336 619264080
1 79924415 905342108
1 164704450 874248745
1 438599843 383684797
1 470394914 832993569
1 603973088 613469225
1 40973577 886615108
1 516758562 737283066
1 582807233 361229642
1 566063866 482839652
1 829432975 756636726
1 93269251 706217825
1 391091915 427350516
1 366832057 713810040
1 752314489 558881665
1 102800059 183739425
1 508313970 335924602
1 586520049 692523813
1 285251087 824497683
1 490679384 304180986
1 508553460 273087160
1 140394680 114815863
1 730732323 752154046
1 189219141 575800158
1 420489429 944634573
1 28967967 178812078
1 501229807 738502715
1 743733788 224444307
1 512055614 944709547
1 844559779 796782630
1 984835506 119376844
1 32795954 445785246
1 835077983 350027136
2 864777663 148859145
1 456386611 471162571
1 956032925 572723621
1 695108323 374544981
1 774950023 96717506
1 747973112 607802424
1 32971634 896450290
1 702012274 445132500
1 32162132 176052058
1 660077236 17585050
1 248519044 796857671
2 91469014 514405624
1 124645657 561474883
1 446167759 876113836
1 627561156 128158475
1 23206185 124789766
1 190859272 578699533
1 532164049 604760366
1 933361654 434256021
1 52680057 423434013
1 369602670 34862497
2 598861208 597447945
1 463813598 96986623
1 333348773 955476435
1 55800200 531091308
1 213776184 196183057
1 835252398 133936394
1 654905475 142627450
1 954913561 86925696
1 992460057 563670328
1 709140480 137290157
1 872478000 512382862
1 58948726 554255193
1 638339427 889932824
1 876447975 870781052
1 153326337 768348137
1 998370455 322503174
1 687789452 920331610
1 32521606 922764282
1 664220698 730252758
2 537454602 476255110
1 942284233 72185984
1 439453968 499556721
1 591758551 689197400
2 267060453 37189919
1 781659282 983062453
1 755313541 571824748
1 504547802 314964789
1 477552624 873541307
1 111616530 978774457
1 661370888 285157744
1 970649610 67707589
1 68516079 291483539
1 307881675 279206102
1 507496571 837306560
1 93049513 515069975
1 537850020 886615917
1 405968421 348683806
1 601479746 657543171
1 998901965 665657156
1 225650718 55496824
1 26348113 244082487
2 304874137 916617395
1 528688227 168678481
2 640141451 111779134
1 715651234 41866638
1 527944075 901122768
1 914124731 389321857
1 190559765 839852678
1 353418961 765688503
2 196005363 22221443
1 991212834 283451259
1 714598158 168182413
1 311254563 778254827
1 192545977 655357988
1 394011032 451331123
1 680959032 731074539
1 85230606 685159649
1 927526317 143994824
1 709806620 241181833
1 139539553 775081903
1 630463338 513007468
1 377924583 314817233
1 69815803 661108337
1 106283061 385990501
1 601620357 873308601
1 900757406 62989870
1 376294074 35161303
1 53368567 464824770
1 565050660 633755586
1 12490138 615835607
2 605781816 947989663
1 974110526 607769401
1 829233639 553880221
2 357745216 817117359
1 428233485 102481298
1 876445905 835990562
1 932099135 44440727
1 471129506 501400853
2 379496524 171647278
1 620440581 711738682
1 234888778 700748660
1 676513924 36588381
1 521448031 889272188
1 431843100 285233418
1 950420198 521879978
1 269488800 255250077
1 185309763 442877169
1 800009544 365292141
1 543789269 923326098
1 737199582 73193709
1 877302383 991409357
1 70643822 338216719
1 587261682 272247762
1 945767142 981884147
1 112497524 960276508
1 864366883 480309204
1 684971726 807450962
1 543435191 60283024
1 680851875 77570487
1 227288441 456398452
1 907062174 800526943
1 926060486 484598393
1 924401021 156752480
1 84814042 333440864
1 561448905 21579995
1 47855071 579767828
1 571287253 18454012
1 137468352 885671539
1 868829450 675250197
1 73276918 850009673
1 923165117 66771844
1 438815216 501470092
1 857135970 356922292
1 87000976 374997181
1 915187780 76117224
1 225977827 51229071
1 92296981 190640042
1 979682715 770269456
1 109132164 26224388
1 292260570 728299301
1 343069236 118540904
1 294898048 752214038
1 650898672 165261064
1 78576222 514077405
1 999833221 930386150
1 622847758 366973228
1 851225574 805144482
1 639854190 578750801
1 843514413 407185444
1 741650736 721811342
1 130643173 784499955
1 47845276 976669754
1 402632333 320649034
1 508828258 389628430
1 49522520 248822251
1 461384047 711207190
1 469129170 34470631
1 812415517 359545171
1 447538671 87690281
1 912817802 898602624
1 246840329 499982077
1 116275381 823188275
1 973297967 628970748
1 304597029 908735602
1 509372125 147487933
1 348176789 707333226
1 60581218 281282248
1 601716884 348154243
1 429592638 323445652
1 392867073 197659964
1 7208198 682078132
1 77193976 904989000
1 67432767 264127931
1 783637278 867502873
1 262555754 843146540
1 204719367 449598675
1 561777970 464229578
1 51371482 112071880
1 447205631 139759364
1 930991825 406729311
1 182751325 599904065
1 735583894 688129257
1 907054993 34340945
1 503324229 432231270
1 476981215 66826254
1 376651727 396762911
1 568058034 432061454
1 2320070 338710844
1 515106231 883843360
1 373153040 723872618
1 455887905 33850486
1 735177496 654754081
1 579727092 132907383
1 710565610 319646303
1 470511598 646617910
1 714385971 896922798
1 113338422 646820821
1 563613733 105643614
1 680774717 135281050
1 818228988 636809575
1 229900958 622320153
1 950340545 537657076
1 502655454 722526658
1 4579816 456534798
1 158153383 292131673
1 242628539 933892967
1 826362842 903540345
1 29532299 73605414
1 65341479 623072514
1 46958890 904544359
1 866304247 36352669
1 446030978 370214147
1 76641553 771876718
1 747523414 846684148
1 179961732 959854748
1 53633262 264081272
1 878135826 321205398
1 579971657 948344044
1 32605137 972164730
1 940951428 501073888
1 983881062 257905712
1 105515943 732445226
1 230269863 380055547
1 51370301 92222813
1 800366189 709952293
1 662260519 204800432
1 795392803 874116024
1 810586640 40885559
1 610292107 797544277
1 306705103 831913321
1 367597343 45575029
1 708437363 850399551
1 256941991 981912267
1 921972798 147797812
1 607479129 764463265
1 136323503 410020728
1 711838743 35334742
1 41088031 662759839
1 627453850 472150180
1 56055254 168311523
1 975875952 214513125
1 286355735 269985218
1 874177356 363193165
1 580509874 404222575
1 237383018 464745978
1 135785443 956780896
1 712568330 412601569
1 654979722 35991710
1 146150264 773678527
1 684207973 855956173
1 904980334 170780415
1 101515869 75194565
1 940581727 522938700
1 162412064 207844311
1 33839579 244594954
1 823142797 471335205
1 729512715 936060282
1 135180765 92902476
1 57412510 504876645
1 669174790 448836191
2 723878966 531899885
1 137459231 377869823
1 553639407 763849576
1 505676723 108870860
1 867533564 370130665
1 303279406 238282311
1 613639787 227427215
2 78391715 560551903
1 987977068 587023272
1 691023654 235968380
1 975883358 131964345
1 733138427 743859750
1 744951012 561996674
1 948706873 997819183
1 948774315 983833230
1 95830108 589847062
1 45937436 123857579
1 278300391 175288371
1 306869911 99852661
1 361098083 186694559
1 749952508 870277713
1 941270502 568783312
1 10883646 971285483
1 499404063 117994365
1 994204150 811870321
1 608644907 30341288
1 120476054 911444104
1 287322433 130387906
1 623195002 553630773
1 12705192 728259469
